Label,Element Type,Description,Tags,Influence,Image,Born,Died,Wikipedia
Isaac Newton,Person,"[艾萨克·牛顿](https://en.wikipedia.org/wiki/Isaac_Newton) —— 经典力学奠基人,提出运动三定律与[万有引力](https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation),并与莱布尼茨各自独立创立[微积分](https://en.wikipedia.org/wiki/Calculus),著《自然哲学的数学原理》。",物理学|数学,9.9,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Portrait_of_Sir_Isaac_Newton%2C_1689_%28brightened%29.jpg/500px-Portrait_of_Sir_Isaac_Newton%2C_1689_%28brightened%29.jpg,1643,1727,https://en.wikipedia.org/wiki/Isaac_Newton
Albert Einstein,Person,"[阿尔伯特·爱因斯坦](https://en.wikipedia.org/wiki/Albert_Einstein) —— 提出[相对论](https://en.wikipedia.org/wiki/Theory_of_relativity),解释[光电效应](https://en.wikipedia.org/wiki/Photoelectric_effect)(获 1921 年诺奖),给出 E=mc²,深刻改变了人类的时空观。",物理学,9.9,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/2/28/Albert_Einstein_Head_cleaned.jpg/500px-Albert_Einstein_Head_cleaned.jpg,1879,1955,https://en.wikipedia.org/wiki/Albert_Einstein
James Clerk Maxwell,Person,"[詹姆斯·克拉克·麦克斯韦](https://en.wikipedia.org/wiki/James_Clerk_Maxwell) —— 用[麦克斯韦方程组](https://en.wikipedia.org/wiki/Maxwell%27s_equations)统一电、磁与光,奠定经典电磁学。",物理学,9.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/b/b0/James-Clerk-Maxwell-1831-1879.jpg/500px-James-Clerk-Maxwell-1831-1879.jpg,1831,1879,https://en.wikipedia.org/wiki/James_Clerk_Maxwell
Charles Darwin,Person,"[查尔斯·达尔文](https://en.wikipedia.org/wiki/Charles_Darwin) —— 以[自然选择](https://en.wikipedia.org/wiki/Natural_selection)阐释[进化论](https://en.wikipedia.org/wiki/Evolution),著《物种起源》,生物学的根基。",生物学,9.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Charles_Darwin_seated_crop.jpg/500px-Charles_Darwin_seated_crop.jpg,1809,1882,https://en.wikipedia.org/wiki/Charles_Darwin
Galileo Galilei,Person,"[伽利略·伽利雷](https://en.wikipedia.org/wiki/Galileo_Galilei) —— “近代科学之父”,用[望远镜](https://en.wikipedia.org/wiki/Galileo%27s_telescope)观测天体支持[日心说](https://en.wikipedia.org/wiki/Heliocentrism),奠定实验物理。",物理学|天文学,9.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Galileo_Galilei_%281564-1642%29_RMG_BHC2700.tiff/lossy-page1-500px-Galileo_Galilei_%281564-1642%29_RMG_BHC2700.tiff.jpg,1564,1642,https://en.wikipedia.org/wiki/Galileo_Galilei
Nicolaus Copernicus,Person,"[尼古拉·哥白尼](https://en.wikipedia.org/wiki/Nicolaus_Copernicus) —— 提出[日心说](https://en.wikipedia.org/wiki/Heliocentrism),引发天文学革命。",天文学,9.4,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Nikolaus_Kopernikus_MOT.jpg/500px-Nikolaus_Kopernikus_MOT.jpg,1473,1543,https://en.wikipedia.org/wiki/Nicolaus_Copernicus
Johannes Kepler,Person,"[约翰内斯·开普勒](https://en.wikipedia.org/wiki/Johannes_Kepler) —— 总结出[行星运动三定律](https://en.wikipedia.org/wiki/Kepler%27s_laws_of_planetary_motion),为牛顿引力理论铺路。",天文学,9.2,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/7/74/JKepler.jpg/500px-JKepler.jpg,1571,1630,https://en.wikipedia.org/wiki/Johannes_Kepler
Michael Faraday,Person,"[迈克尔·法拉第](https://en.wikipedia.org/wiki/Michael_Faraday) —— 发现[电磁感应](https://en.wikipedia.org/wiki/Electromagnetic_induction),奠定发电机与电动机原理。",物理学|化学,9.4,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Michael_Faraday_sitting_crop.jpg/500px-Michael_Faraday_sitting_crop.jpg,1791,1867,https://en.wikipedia.org/wiki/Michael_Faraday
Marie Curie,Person,"[玛丽·居里](https://en.wikipedia.org/wiki/Marie_Curie) —— [放射性](https://en.wikipedia.org/wiki/Radioactivity)研究先驱,发现钋与镭,史上首位两获诺贝尔奖者。",物理学|化学,9.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Marie_Curie_c._1920s.jpg/500px-Marie_Curie_c._1920s.jpg,1867,1934,https://en.wikipedia.org/wiki/Marie_Curie
Niels Bohr,Person,"[尼尔斯·玻尔](https://en.wikipedia.org/wiki/Niels_Bohr) —— 提出原子的[玻尔模型](https://en.wikipedia.org/wiki/Bohr_model),[量子力学](https://en.wikipedia.org/wiki/Quantum_mechanics)奠基人之一。",物理学,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Niels_Bohr.jpg/500px-Niels_Bohr.jpg,1885,1962,https://en.wikipedia.org/wiki/Niels_Bohr
Max Planck,Person,"[马克斯·普朗克](https://en.wikipedia.org/wiki/Max_Planck) —— 由[黑体辐射](https://en.wikipedia.org/wiki/Black-body_radiation)提出能量量子化,开启[量子力学](https://en.wikipedia.org/wiki/Quantum_mechanics)时代。",物理学,9.2,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Max_Planck_by_Hugo_Erfurth_1938cr_-_restoration1.jpg/500px-Max_Planck_by_Hugo_Erfurth_1938cr_-_restoration1.jpg,1858,1947,https://en.wikipedia.org/wiki/Max_Planck
Werner Heisenberg,Person,"[维尔纳·海森堡](https://en.wikipedia.org/wiki/Werner_Heisenberg) —— 创立矩阵力学,提出[不确定性原理](https://en.wikipedia.org/wiki/Uncertainty_principle)。",物理学,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Werner_Heisenberg_Portrait_%283x4_cropped%29.jpg/500px-Werner_Heisenberg_Portrait_%283x4_cropped%29.jpg,1901,1976,https://en.wikipedia.org/wiki/Werner_Heisenberg
Erwin Schrödinger,Person,"[埃尔温·薛定谔](https://en.wikipedia.org/wiki/Erwin_Schr%C3%B6dinger) —— 提出[薛定谔方程](https://en.wikipedia.org/wiki/Schr%C3%B6dinger_equation),波动力学奠基人,以“薛定谔的猫”闻名。",物理学,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/7/77/Erwin_Schr%C3%B6dinger_-_Narodowe_Archiwum_Cyfrowe_%281-E-939%29.jpg/500px-Erwin_Schr%C3%B6dinger_-_Narodowe_Archiwum_Cyfrowe_%281-E-939%29.jpg,1887,1961,https://en.wikipedia.org/wiki/Erwin_Schrödinger
Paul Dirac,Person,"[保罗·狄拉克](https://en.wikipedia.org/wiki/Paul_Dirac) —— 提出[狄拉克方程](https://en.wikipedia.org/wiki/Dirac_equation),预言[反物质](https://en.wikipedia.org/wiki/Antimatter),量子电动力学先驱。",物理学,8.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/50/Paul_Dirac%2C_1933.jpg/500px-Paul_Dirac%2C_1933.jpg,1902,1984,https://en.wikipedia.org/wiki/Paul_Dirac
Richard Feynman,Person,"[理查德·费曼](https://en.wikipedia.org/wiki/Richard_Feynman) —— [量子电动力学](https://en.wikipedia.org/wiki/Quantum_electrodynamics)奠基人之一,发明费曼图,著名科学传播者。",物理学,8.9,https://i0.wp.com/upload.wikimedia.org/wikipedia/en/thumb/4/42/Richard_Feynman_Nobel.jpg/500px-Richard_Feynman_Nobel.jpg,1918,1988,https://en.wikipedia.org/wiki/Richard_Feynman
Nikola Tesla,Person,[尼古拉·特斯拉](https://en.wikipedia.org/wiki/Nikola_Tesla) —— [交流电](https://en.wikipedia.org/wiki/Alternating_current)系统与感应电动机的发明者。,物理学,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/7/79/Tesla_circa_1890.jpeg/500px-Tesla_circa_1890.jpeg,1856,1943,https://en.wikipedia.org/wiki/Nikola_Tesla
Gregor Mendel,Person,"[格雷戈尔·孟德尔](https://en.wikipedia.org/wiki/Gregor_Mendel) —— 通过豌豆实验发现遗传规律,[遗传学](https://en.wikipedia.org/wiki/Genetics)之父。",生物学,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Gregor_Mendel_2.jpg/500px-Gregor_Mendel_2.jpg,1822,1884,https://en.wikipedia.org/wiki/Gregor_Mendel
Louis Pasteur,Person,"[路易·巴斯德](https://en.wikipedia.org/wiki/Louis_Pasteur) —— 确立[细菌致病学说](https://en.wikipedia.org/wiki/Germ_theory_of_disease),发明[巴氏消毒](https://en.wikipedia.org/wiki/Pasteurization)与多种疫苗。",医学|化学,9.2,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Louis_Pasteur%2C_foto_av_Paul_Nadar%2C_Crisco_edit.jpg/500px-Louis_Pasteur%2C_foto_av_Paul_Nadar%2C_Crisco_edit.jpg,1822,1895,https://en.wikipedia.org/wiki/Louis_Pasteur
