Label,Element Type,Description,Tags,Influence,Image,Born,Died,Website,Blog
Ken Thompson,Person,"美国计算机科学家,[Unix](https://en.wikipedia.org/wiki/Unix) 的共同创造者;设计了 [B 语言](https://en.wikipedia.org/wiki/B_%28programming_language%29)、[UTF-8](https://en.wikipedia.org/wiki/UTF-8),并与 Rob Pike 等共同开发 [Go](https://en.wikipedia.org/wiki/Go_%28programming_language%29)。1983 年 [图灵奖](https://en.wikipedia.org/wiki/Turing_Award) 得主。",Unix|B|C|UTF-8|Plan9|grep|Go|Multics|ed,9.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Ken_Thompson%2C_2019.jpg/500px-Ken_Thompson%2C_2019.jpg,1943,,,
Dennis Ritchie,Person,"[C 语言](https://en.wikipedia.org/wiki/C_%28programming_language%29) 的发明者,与 Ken Thompson 共同创造 [Unix](https://en.wikipedia.org/wiki/Unix)。其工作奠定了现代操作系统与系统编程的基础,1983 年图灵奖得主。",B|C|Unix|Multics,9.9,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/2/23/Dennis_Ritchie_2011.jpg/500px-Dennis_Ritchie_2011.jpg,1941,2011,,
Brian Kernighan,Person,"[Unix](https://en.wikipedia.org/wiki/Unix) 早期重要贡献者,[AWK](https://en.wikipedia.org/wiki/AWK) 的共同作者(K),并与 Ritchie 合著经典《[C 程序设计语言](https://en.wikipedia.org/wiki/The_C_Programming_Language)》。",Unix|AWK,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Brian_Kernighan_at_VCF_East_2.jpg/500px-Brian_Kernighan_at_VCF_East_2.jpg,1942,,,
Rob Pike,Person,"[Unix](https://en.wikipedia.org/wiki/Unix) 与 [Plan 9](https://en.wikipedia.org/wiki/Plan_9_from_Bell_Labs) 的开发者,[UTF-8](https://en.wikipedia.org/wiki/UTF-8) 共同设计者,[Go 语言](https://en.wikipedia.org/wiki/Go_%28programming_language%29) 主创之一。",Plan9|UTF-8|Go,8.2,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Rob-pike-oscon.jpg/500px-Rob-pike-oscon.jpg,1956,,https://github.com/robpike,
Douglas McIlroy,Person,"提出 [Unix 管道](https://en.wikipedia.org/wiki/Pipeline_%28Unix%29) 概念,塑造了 Unix“小工具组合”的哲学;编写了 diff、sort、join、tr 等多个经典工具。",Unix Pipelines|echo|diff|sort|join|tr|Unix Manual|Macros,7.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Douglas_McIlroy.jpeg/500px-Douglas_McIlroy.jpeg,1932,,,
Richard Stallman (rms),Person,"[自由软件运动](https://en.wikipedia.org/wiki/Free_software_movement) 发起人,创建 [GNU 工程](https://en.wikipedia.org/wiki/GNU) 与 [GPL 许可证](https://en.wikipedia.org/wiki/GNU_General_Public_License),开发了 [Emacs](https://en.wikipedia.org/wiki/GNU_Emacs) 和 GCC。",GNU|GPL|Emacs|Free software movement,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/3/38/Richard_Stallman_Bologna_2024_abc1.jpg/500px-Richard_Stallman_Bologna_2024_abc1.jpg,1953,,,
Linus Torvalds,Person,"[Linux](https://en.wikipedia.org/wiki/Linux) 内核的创造者,也是分布式版本控制系统 [Git](https://en.wikipedia.org/wiki/Git) 的作者,深刻影响了开源世界。",Linux|Git,9.7,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/0/01/LinuxCon_Europe_Linus_Torvalds_03_%28cropped%29.jpg/500px-LinuxCon_Europe_Linus_Torvalds_03_%28cropped%29.jpg,1969,,https://github.com/torvalds,
Bjarne Stroustrup,Person,"[C++](https://en.wikipedia.org/wiki/C%2B%2B) 的设计者,将面向对象与泛型编程引入系统级语言。",C++,8.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Bjarne_Stroustrup_%282013%29.jpg/500px-Bjarne_Stroustrup_%282013%29.jpg,1950,,,
Guido van Rossum,Person,"[Python](https://en.wikipedia.org/wiki/Python_%28programming_language%29) 的创造者,曾长期担任其“[终身仁慈独裁者](https://en.wikipedia.org/wiki/Benevolent_dictator_for_life)”(BDFL)。",Python,9.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Guido_van_Rossum_in_PyConUS24_%28cropped%29.jpg/500px-Guido_van_Rossum_in_PyConUS24_%28cropped%29.jpg,1956,,https://github.com/gvanrossum,
James Gosling,Person,"[Java](https://en.wikipedia.org/wiki/Java_%28programming_language%29) 语言的主要设计者,提出“一次编写,到处运行”的理念。",Java,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/1/14/James_Gosling_2008.jpg/500px-James_Gosling_2008.jpg,1955,,,
Brendan Eich,Person,"在 Netscape 用十天创造了 [JavaScript](https://en.wikipedia.org/wiki/JavaScript);[Mozilla](https://en.wikipedia.org/wiki/Mozilla) 联合创始人,后创立 [Brave 浏览器](https://en.wikipedia.org/wiki/Brave_%28web_browser%29)。",JavaScript|Mozilla|Brave,8.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Brendan_Eich_Mozilla_Foundation_official_photo.jpg/500px-Brendan_Eich_Mozilla_Foundation_official_photo.jpg,1961,,https://github.com/BrendanEich,
John Carmack,Person,"id Software 联合创始人,《[Doom](https://en.wikipedia.org/wiki/Doom_%281993_video_game%29)》《Quake》背后的图形编程大师,推动了实时 3D 与游戏引擎技术。",,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/2/2d/John_Carmack_2025.jpg/500px-John_Carmack_2025.jpg,,,,
